CD_REFNIS;TX_DESCR_NL;TX_DESCR_FR;CD_SECTOR;TX_DESCR_SECTOR_NL;TX_DESCR_SECTOR_FR;DT_STRT_SECTOR;DT_STOP_SECTOR;MS_TOT_SUR;POPULATION
11001;Aartselaar;Aartselaar;11001A00-;AARTSELAAR-CENTRUM;AARTSELAAR-CENTRUM;01Mar1981;31Dec9999;53,1581024;2490
11001;Aartselaar;Aartselaar;11001A01-;DE LEEUWERIK;DE LEEUWERIK;01Mar1981;31Dec9999;67,11468079;2755
11001;Aartselaar;Aartselaar;11001A020;BUERSTEDE;BUERSTEDE;01Mar1981;31Dec9999;28,08436398;732
11001;Aartselaar;Aartselaar;11001A030;YSSELAAR;YSSELAAR;01Mar1981;31Dec9999;42,81185223;431
11001;Aartselaar;Aartselaar;11001A042;KLEINE GRIPPE;KLEINE GRIPPE;01Mar1981;31Dec9999;25,56195437;351
11001;Aartselaar;Aartselaar;11001A052;LEUG;LEUG;01Mar1981;31Dec9999;33,72636318;2170
11001;Aartselaar;Aartselaar;11001A063;TEN DORPE;TEN DORPE;01Mar1981;31Dec9999;21,82662998;754
11001;Aartselaar;Aartselaar;11001A074;BRUINEN BAARD;BRUINEN BAARD;01Mar1981;31Dec9999;45,83521246;29
11001;Aartselaar;Aartselaar;11001A091;KLEISTRAAT - OEVER;KLEISTRAAT - OEVER;01Mar1981;31Dec9999;219,0515914;593
11001;Aartselaar;Aartselaar;11001A0MA;CLEYDAEL-KASTEEL;CLEYDAEL-KASTEEL;01Oct2001;31Dec9999;20,46538243;57
11001;Aartselaar;Aartselaar;11001A0PA;ZINKVAL;ZINKVAL;01Oct2001;31Dec9999;171,0468305;113
11001;Aartselaar;Aartselaar;11001A10-;'T HEIKEN;'T HEIKEN;01Mar1981;31Dec9999;36,48618283;780
11001;Aartselaar;Aartselaar;11001A173;NOTELAAN;NOTELAAN;01Mar1981;31Dec9999;109,900694;532
11001;Aartselaar;Aartselaar;11001A190;DE REUKENS;DE REUKENS;01Mar1981;31Dec9999;132,1803342;389
11001;Aartselaar;Aartselaar;11001A20-;DE KOEKOEK;DE KOEKOEK;01Mar1981;31Dec9999;43,28708286;996
11001;Aartselaar;Aartselaar;11001A21-;VIERPALEN;VIERPALEN;01Mar1981;31Dec9999;51,02120312;1254
11001;Aartselaar;Aartselaar;11001ZZZZ;NIET TE LOKALISEREN IN EEN SECTOR;NON LOCALISABLE DANS UN SECTEUR;01Mar1981;31Dec9999;0;1
11002;Antwerpen;Anvers;1100212MQ;STABROEK;STABROEK;01Oct2001;31Dec9999;80,72390062;0
11002;Antwerpen;Anvers;11002A00-;ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN );ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN );01Mar1981;31Dec9999;22,25746469;2788
11002;Antwerpen;Anvers;11002A01-;KLAPDORP - BROUWERSVLIET;KLAPDORP - BROUWERSVLIET;01Mar1981;31Dec9999;13,81600153;1595
11002;Antwerpen;Anvers;11002A02-;GROENPLAATS (SPAANSE WALLEN);GROENPLAATS (SPAANSE WALLEN);01Mar1981;31Dec9999;10,90110713;537
11002;Antwerpen;Anvers;11002A03-;HOOGSTRAAT (SPAANSE WALLEN);HOOGSTRAAT (SPAANSE WALLEN);01Mar1981;31Dec9999;9,244516708;1053
11002;Antwerpen;Anvers;11002A04-;OUDAAN (SPAANSE WALLEN);OUDAAN (SPAANSE WALLEN);01Mar1981;31Dec9999;14,88241705;1530
11002;Antwerpen;Anvers;11002A05-;GEVANGENIS (SPAANSE WALLEN);GEVANGENIS (SPAANSE WALLEN);01Mar1981;31Dec9999;13,47074851;1648
11002;Antwerpen;Anvers;11002A081;SCHELDEKADEN NOORD;SCHELDEKADEN NOORD;01Mar1981;31Dec9999;14,89565391;0
11002;Antwerpen;Anvers;11002A10-;MEIR - LEYSSTRAAT (SP. WALLEN);MEIR - LEYSSTRAAT (SP. WALLEN);01Mar1981;31Dec9999;26,14754112;1656
11002;Antwerpen;Anvers;11002A11-;KIPDORP-ST.-JACOBS (SP.WALLEN);KIPDORP-ST.-JACOBS (SP.WALLEN);01Mar1981;31Dec9999;19,51092788;2002
11002;Antwerpen;Anvers;11002A12-;K.N.S.-NAT. BANK (SP. WALLEN);K.N.S.-NAT. BANK (SP. WALLEN);01Mar1981;31Dec9999;16,23367712;987
11002;Antwerpen;Anvers;11002A13-;STADSWAAG-BEGIJNHOF(SP.WALLEN);STADSWAAG-BEGIJNHOF(SP.WALLEN);01Mar1981;31Dec9999;23,03049003;2177
11002;Antwerpen;Anvers;11002A14-;TABAKSVEST (SPAANSE WALLEN);TABAKSVEST (SPAANSE WALLEN);01Mar1981;31Dec9999;9,403755759;1014
11002;Antwerpen;Anvers;11002A15-;HESSENHUIS (SPAANSE WALLEN);HESSENHUIS (SPAANSE WALLEN);01Mar1981;31Dec9999;16,17538054;1377
11002;Antwerpen;Anvers;11002A21-;ST.-ANDRIES (SPAANSE WALLEN);ST.-ANDRIES (SPAANSE WALLEN);01Mar1981;31Dec9999;17,53017989;2825
11002;Antwerpen;Anvers;11002A22-;ST.-MICHIELSKAAI (SP. WALLEN);ST.-MICHIELSKAAI (SP. WALLEN);01Mar1981;31Dec9999;8,445352836;1699
11002;Antwerpen;Anvers;11002B701;LINKEROEVER-ZUID (LINKEROEVER);LINKEROEVER-ZUID (LINKEROEVER);01Mar1981;31Dec9999;50,84274729;5460
11002;Antwerpen;Anvers;11002B71-;LINKEROEVER - STATION;LINKEROEVER - STATION;01Mar1981;31Dec9999;40,79279504;1946
11002;Antwerpen;Anvers;11002B721;LINKEROEVER-NOORD;LINKEROEVER-NOORD;01Mar1981;31Dec9999;43,68065146;3896
11002;Antwerpen;Anvers;11002B73-;ST.-ANNA (LINKEROEVER);ST.-ANNA (LINKEROEVER);01Mar1981;31Dec9999;62,55448211;49
11002;Antwerpen;Anvers;11002B742;THOENETLAAN (LINKEROEVER);THOENETLAAN (LINKEROEVER);01Mar1981;31Dec9999;27,69124688;1569
11002;Antwerpen;Anvers;11002B752;GLORIANTLAAN (LINKEROEVER);GLORIANTLAAN (LINKEROEVER);01Mar1981;31Dec9999;28,90687518;167
11002;Antwerpen;Anvers;11002B782;GALGEWEEL (LINKEROEVER);GALGEWEEL (LINKEROEVER);01Mar1981;31Dec9999;299,5488815;179
11002;Antwerpen;Anvers;11002B791;ST.-ANNABOS (LINKEROEVER );ST.-ANNABOS (LINKEROEVER );01Mar1981;31Dec9999;244,1298651;321
11002;Antwerpen;Anvers;11002B813;BLANCEFLOERLAAN  (LINKEROEVER);BLANCEFLOERLAAN  (LINKEROEVER);01Mar1981;31Dec9999;74,13930335;2246
11002;Antwerpen;Anvers;11002B824;CHARLES DE COSTERLAAN(L.OEVER);CHARLES DE COSTERLAAN(L.OEVER);01Mar1981;31Dec9999;138,8572255;554
11002;Antwerpen;Anvers;11002C20-;STATIEKWARTIER (STATIONSWIJK);STATIEKWARTIER (STATIONSWIJK);01Mar1981;31Dec9999;9,10730901;374
11002;Antwerpen;Anvers;11002C21-;ATHENEUM (STATIONSWIJK);ATHENEUM (STATIONSWIJK);01Mar1981;31Dec9999;11,82553508;1971
